WFP - MODIS Dekadal Vegetation Indicators at Admin Level 2,
WFP - World Food Programme,
7907439a-0138-4b8e-a4cf-4f0233e0d694,Yemen: Climate Data - MODIS Dekadal Vegetation Indicators at Admin Level 2
fcf36797-6247-4cf6-bff6-66dac6890cf9,Guatemala: Climate Data - MODIS Dekadal Vegetation Indicators at Admin Level 2
fa36ae79-984e-4819-b0eb-a79fbb168f6c,Afghanistan: Climate Data - MODIS Dekadal Vegetation Indicators at Admin Level 2
e3bebc64-535f-45ba-967a-95769824f86c,Ukraine: Climate Data - MODIS Dekadal Vegetation Indicators at Admin Level 2
09ff7713-3826-4edc-9c81-819157884117,Venezuela (Bolivarian Republic of): Climate Data - MODIS Dekadal Vegetation Indicators at Admin Level 2
18e58b86-2929-4901-b83f-4b0872c1c465,Madagascar: Climate Data - MODIS Dekadal Vegetation Indicators at Admin Level 2
1d9b5601-dde5-4ef0-b1d3-ef627417e425,Nigeria: Climate Data - MODIS Dekadal Vegetation Indicators at Admin Level 2
f2de4216-71fd-47cb-9c64-b5699055431a,Burkina Faso: Climate Data - MODIS Dekadal Vegetation Indicators at Admin Level 2
72628c4c-1876-42b5-bd17-f2bb15f2db15,Myanmar: Climate Data - MODIS Dekadal Vegetation Indicators at Admin Level 2
4cd6cc9f-e625-4f76-a87f-6714dc0f69fd,Honduras: Climate Data - MODIS Dekadal Vegetation Indicators at Admin Level 2
f7956713-9cce-4784-a1b9-bca5a60f4729,Ethiopia: Climate Data - MODIS Dekadal Vegetation Indicators at Admin Level 2
6da39ddb-76b0-4510-8648-c0f3fb15d52b,Cameroon: Climate Data - MODIS Dekadal Vegetation Indicators at Admin Level 2
bd75b57a-96c9-4a06-a52e-e8c280e3b076,Sudan: Climate Data - MODIS Dekadal Vegetation Indicators at Admin Level 2
4a9d75e8-9ecc-43d1-b678-031d61aea243,Niger: Climate Data - MODIS Dekadal Vegetation Indicators at Admin Level 2
841f6fa9-7ba3-4e79-a335-db9e2608f8c3,Mozambique: Climate Data - MODIS Dekadal Vegetation Indicators at Admin Level 2
2b4f3ce3-fa4e-4b7f-8424-9dd9ba030f8e,Democratic Republic of the Congo: Climate Data - MODIS Dekadal Vegetation Indicators at Admin Level 2
9aa5dc77-f562-427a-9465-3ec84ab5f4c9,Burundi: Climate Data - MODIS Dekadal Vegetation Indicators at Admin Level 2
ee6b03e9-85e3-45e2-921f-231970a3b300,Malawi: Climate Data - MODIS Dekadal Vegetation Indicators at Admin Level 2
5071416d-e656-4af3-8179-057332e968f5,South Sudan: Climate Data - MODIS Dekadal Vegetation Indicators at Admin Level 2
61e24978-04cd-42fe-8c96-075e98bb7680,Mali: Climate Data - MODIS Dekadal Vegetation Indicators at Admin Level 2
26569a3d-a40c-4f47-a8c2-0f1c129b7876,Philippines: Climate Data - MODIS Dekadal Vegetation Indicators at Admin Level 2
19375eb9-c931-4ced-bf64-950f8025b7a0,Central African Republic: Climate Data - MODIS Dekadal Vegetation Indicators at Admin Level 2
1ad634b6-dc20-4b6b-940a-4037d71ef947,Bangladesh: Climate Data - MODIS Dekadal Vegetation Indicators at Admin Level 2
f1e50c5b-304e-4e42-862b-cdc3d9016014,Somalia: Climate Data - MODIS Dekadal Vegetation Indicators at Admin Level 2
057cec88-5bb5-4d0b-9459-cd8308849115,Syrian Arab Republic: Climate Data - MODIS Dekadal Vegetation Indicators at Admin Level 2
d1d93f48-7c92-4486-9f13-5d1806d1fd9b,Haiti: Climate Data - MODIS Dekadal Vegetation Indicators at Admin Level 2
c01071aa-b3b3-4bb1-8568-832359f73ef5,Nepal: Climate Data - MODIS Dekadal Vegetation Indicators at Admin Level 2
d9c4b7f1-ef96-4f54-85fb-3d936daa0066,Iraq: Climate Data - MODIS Dekadal Vegetation Indicators at Admin Level 2
2355f1a5-1a54-4360-9647-3427f3649f6d,Chad: Climate Data - MODIS Dekadal Vegetation Indicators at Admin Level 2
b9b3d556-b549-4aaa-94e4-ba96708df190,Libya: Climate Data - MODIS Dekadal Vegetation Indicators at Admin Level 2
b84f0c2e-2b7f-41c0-bf5d-8d0d7407a228,El Salvador: Climate Data - MODIS Dekadal Vegetation Indicators at Admin Level 2
7f2ba5ba-8df1-41cf-ab18-fc1da928a1e5,Colombia: Climate Data - MODIS Dekadal Vegetation Indicators at Admin Level 2